[INFO] [1777006595.978660949] [decision_node]: Decision node started
[INFO] [1777006595.979817798] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.030294013] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.039772027] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.040340992] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.040915037] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.041449551] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.046116124] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.047391626] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.048130177] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.057661010] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.058355703] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.059226486] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.129057522] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.129893273] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.130629532] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.147049365] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.148306579] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.149514765] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.157986576] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.159311281] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.160544888] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.230069478] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.230935812] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.231731783] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.247207757] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.248161224] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.248815822] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.257871070] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.258872648] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.259929098] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.331542893] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.333284588] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.334961943] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.348300695] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.350683583] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.351937129] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.358788825] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.360722291] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.362575051] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.429496341] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.430546790] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.431550994] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.445816649] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
