[INFO] [1777006593.963636056] [perception_node]: Perception node started
[INFO] [1777006593.965911387] [perception_node]: left=0.21, front=0.33, right=inf, camera_red=False, red_ratio=0.000 -> front_blocked_turn_right
[INFO] [1777006594.047449551] [perception_node]: left=0.53, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.146638700] [perception_node]: left=0.28, front=0.27, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.246282843] [perception_node]: left=0.44, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.346666642] [perception_node]: left=0.24, front=0.42, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.445781309] [perception_node]: left=0.31, front=0.32, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.546088698] [perception_node]: left=0.43, front=0.40, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.645898717] [perception_node]: left=0.33, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.746306988] [perception_node]: left=0.33, front=0.27, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.845420791] [perception_node]: left=0.25, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006594.945643318] [perception_node]: left=0.27, front=0.38, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.046171577] [perception_node]: left=0.57, front=0.36, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.146049891] [perception_node]: left=0.23, front=0.46, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.246077176] [perception_node]: left=0.23, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.345999990] [perception_node]: left=0.29, front=0.82, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.429076447] [perception_node]: left=0.20, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.446049745] [perception_node]: left=0.25, front=0.51, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.528859977] [perception_node]: left=0.21, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.546473568] [perception_node]: left=0.21, front=0.36, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.628781924] [perception_node]: left=0.20, front=0.40, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.646158649] [perception_node]: left=0.35, front=0.64, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.695344620] [perception_node]: left=0.22, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.696902203] [perception_node]: left=0.29, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.729852493] [perception_node]: left=0.22, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.746994968] [perception_node]: left=0.20, front=0.33, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.757456819] [perception_node]: left=0.29, front=0.28, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.830538369] [perception_node]: left=0.27, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.849114402] [perception_node]: left=0.28, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.860946771] [perception_node]: left=0.21, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.930771639] [perception_node]: left=0.29, front=0.43, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.946337063] [perception_node]: left=0.23, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006595.957262662] [perception_node]: left=0.59, front=0.33, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.028724746] [perception_node]: left=0.23, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.046271625] [perception_node]: left=0.26, front=0.46, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.056413874] [perception_node]: left=0.30, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.129527026] [perception_node]: left=0.34, front=0.48, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.146871325] [perception_node]: left=0.24, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.156985359] [perception_node]: left=0.21, front=0.33, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.228826998] [perception_node]: left=0.23, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.245985958] [perception_node]: left=0.22, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.256006678] [perception_node]: left=0.37, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.331354692] [perception_node]: left=0.27, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.348116609] [perception_node]: left=0.31, front=0.27, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.358432346] [perception_node]: left=0.27, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.431045446] [perception_node]: left=0.30, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.445541968] [perception_node]: left=0.52, front=0.45, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.456570855] [perception_node]: left=0.20, front=0.33, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.529317843] [perception_node]: left=0.54, front=0.51, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.545796397] [perception_node]: left=0.22, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.556002719] [perception_node]: left=0.22, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.629329528] [perception_node]: left=0.42, front=0.26, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006596.646071852] [perception_node]: left=0.47, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
