[INFO] [1777011574.880965356] [control_node]: Control node started
[INFO] [1777011574.937965452] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.041008204] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.137762562] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.242004786] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.337272016] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.440632737] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.538095773] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.641746947] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.737768154] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.841171483] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011575.938417797] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.039107935] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.138376124] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.241483881] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.337064725] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.437551246] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011576.538255524] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011576.637840203] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011576.745597951] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011576.846392237] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011576.939310140] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.037588521] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.137372551] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.238706354] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.338421734] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.437543756] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.538100533] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.640030284] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.737184971] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.840659184] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011577.937631898] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.039716897] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.137913420] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.237854591] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.343632763] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.436927464] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.537770973] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.637772650] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.737339079] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.838753645] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011578.944691460] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011579.037102274] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011579.141249347] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011579.237304867] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011579.340466676] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011579.438308124] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011579.537243700] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011579.644044759] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011579.737621434] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
