[INFO] [1777011573.236541167] [decision_node]: Decision node started
[INFO] [1777011573.237242580] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.341012966] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.437337190] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.541265049] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.637372331] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.740751775] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.837537551] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011573.940993036] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011574.040573825] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011574.141231667] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011574.237106764] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011574.339968345] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011574.437274579] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011574.537450363] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011574.637535220] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011574.738390800] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011574.838161676] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011574.937679704] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.040735656] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.137520032] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.240817351] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.336820956] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.439635360] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.537496317] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.640429450] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.737113435] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.840842472] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011575.937736590] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.038271087] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.137675499] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.240862818] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.336811746] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.437307957] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011576.538230235] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011576.637540728] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011576.744520306] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011576.844986353] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011576.938854139] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.037367261] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.137131831] [decision_node]: perception=left_blocked_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.238274261] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.338073485] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.437059545] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.537585325] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.639468466] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.736748634] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.839700971] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011577.937114168] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.039173483] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.137584439] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.237530187] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.342951073] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.436862879] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.537476707] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.637556994] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.737074887] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.838502277] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011578.943916555] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011579.037064660] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011579.140520662] [decision_node]: perception=front_blocked_turn_right_camera_object_left -> vector=(x=0.05, y=0.00, z=2.00)
[INFO] [1777011579.236970092] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.339839807] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.437911469] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.537039640] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.643938754] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.737535563] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.836941446] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011579.940724460] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.039601259] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.137160967] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.237288207] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.337708036] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.440457860] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.537370496] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.638417828] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.737661610] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.838594649] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011580.938562356] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011581.037167434] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011581.137485634] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011581.239502084] [decision_node]: perception=front_blocked_turn_right_camera_object_center -> vector=(x=0.00, y=0.00, z=0.00)
[INFO] [1777011581.337422684] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.438234633] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.538272130] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.638507223] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.737862851] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.839428298] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011581.938301903] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.040624593] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.138288245] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.237691930] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.341430153] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.437654104] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.538136666] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.637942058] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.738522528] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.838249098] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011582.938338559] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.037504040] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.138522571] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.237575570] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.337635931] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
[INFO] [1777011583.437240022] [decision_node]: perception=front_blocked_turn_right_camera_object_right -> vector=(x=0.05, y=0.00, z=-2.00)
