[INFO] [1777011571.242975278] [perception_node]: Perception node started
[INFO] [1777011571.244308870] [perception_node]: left=0.21, front=0.25, right=inf, camera_detected=False, camera_pos=none, red_ratio=0.000 -> front_blocked_turn_right
[INFO] [1777011571.339346109] [perception_node]: left=0.22, front=0.21, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011571.436577032] [perception_node]: left=0.23, front=0.22, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011571.537306968] [perception_node]: left=0.26, front=0.21, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011571.637027414] [perception_node]: left=0.24, front=0.47, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011571.737149804] [perception_node]: left=0.29, front=0.61, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011571.839910564] [perception_node]: left=0.23, front=0.30, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011571.937557091] [perception_node]: left=0.42, front=0.27, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.037480357] [perception_node]: left=0.27, front=0.30, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.137012050] [perception_node]: left=0.27, front=0.93, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.239935313] [perception_node]: left=0.22, front=0.22, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.337850077] [perception_node]: left=0.23, front=0.20, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.436841954] [perception_node]: left=0.23, front=0.23, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.536750810] [perception_node]: left=0.24, front=0.21, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
[INFO] [1777011572.636649302] [perception_node]: left=0.34, front=0.28, right=inf, camera_detected=True, camera_pos=right, red_ratio=0.083 -> front_blocked_turn_right_camera_object_right
